ResNet,ACSF1,0.875555555
ResNet,Adiac,0.8428530892
ResNet,AllGestureWiimoteX,0.7187301517
ResNet,AllGestureWiimoteY,0.7585714261
ResNet,AllGestureWiimoteZ,0.7317460378
ResNet,ArrowHead,0.8025396797
ResNet,Beef,0.7259259688
ResNet,BeetleFly,0.8222222262
ResNet,BirdChicken,0.9499999881
ResNet,BME,0.8370370468
ResNet,Car,0.8870370785
ResNet,Chinatown,0.9805636605
ResNet,ChlorineConcentration,0.8176215291
ResNet,CinCECGTorso,0.7664251129
ResNet,Coffee,1
ResNet,Computers,0.8279999958
ResNet,CricketX,0.7698005637
ResNet,CricketY,0.7965812021
ResNet,CricketZ,0.8022791942
ResNet,Crop,0.7716071341
ResNet,DiatomSizeReduction,0.93936091
ResNet,DistalPhalanxOutlineAgeGroup,0.7498001721
ResNet,DistalPhalanxOutlineCorrect,0.7797906531
ResNet,DistalPhalanxTW,0.6954436567
ResNet,DodgerLoopDay,0.4277777837
ResNet,DodgerLoopGame,0.710144937
ResNet,DodgerLoopWeekend,0.9718196525
ResNet,Earthquakes,0.7466027141
ResNet,ECG200,0.8866666555
ResNet,ECG5000,0.9380987618
ResNet,ECGFiveDays,0.9688992103
ResNet,ElectricDevices,0.71705644
ResNet,EOGHorizontalSignal,0.5911602113
ResNet,EOGVerticalSignal,0.4524248011
ResNet,EthanolLevel,0.8060000075
ResNet,FaceAll,0.8413543701
ResNet,FaceFour,0.9507575764
ResNet,FiftyWords,0.6840049028
ResNet,Fish,0.9790476362
ResNet,FordA,0.9356902374
ResNet,FordB,0.8148148192
ResNet,FreezerRegularTrain,0.9950877163
ResNet,FreezerSmallTrain,0.7953996062
ResNet,Fungi,0.9916368061
ResNet,GesturePebbleZ1,0.868217051
ResNet,GesturePebbleZ2,0.7791842421
ResNet,GunPoint,0.9977777799
ResNet,GunPointAgeSpan,0.995428986
ResNet,GunPointMaleVersusFemale,0.9971870846
ResNet,GunPointOldVersusYoung,1
ResNet,Ham,0.7248677413
ResNet,HandOutlines,0.9270270334
ResNet,Haptics,0.5256132748
ResNet,Herring,0.6163194444
ResNet,HouseTwenty,0.9309057593
ResNet,InlineSkate,0.3820202019
ResNet,InsectEPGRegularTrain,1
ResNet,InsectEPGSmallTrain,1
ResNet,InsectWingbeatSound,0.4709315333
ResNet,ItalyPowerDemand,0.9612352848
ResNet,LargeKitchenAppliances,0.9152592619
ResNet,Lightning2,0.7213114235
ResNet,Lightning7,0.7488584386
ResNet,Mallat,0.9191660749
ResNet,Meat,0.9277778268
ResNet,MedicalImages,0.7725146214
ResNet,MelbournePedestrian,0.9748075273
ResNet,MiddlePhalanxOutlineAgeGroup,0.5562770698
ResNet,MiddlePhalanxOutlineCorrect,0.8251241048
ResNet,MiddlePhalanxTW,0.5209235284
ResNet,MixedShapesSmallTrain,0.8995188938
ResNet,MoteStrain,0.9203052852
ResNet,NonInvasiveFetalECGThorax1,0.9637545745
ResNet,NonInvasiveFetalECGThorax2,0.9545942942
ResNet,OliveOil,0.7444444829
ResNet,OSULeaf,0.9692378309
ResNet,PhalangesOutlinesCorrect,0.8356643452
ResNet,Phoneme,0.3517346415
ResNet,PickupGestureWiimoteZ,0.813333306
ResNet,PickupGestureWiimoteZ,0.82888886
ResNet,PigAirwayPressure,0.4369658099
ResNet,PigArtPressure,0.7361111111
ResNet,PigCVP,0.4748931593
ResNet,PLAID,0.1719428938
ResNet,Plane,1
ResNet,PowerCons,0.9111111032
ResNet,ProximalPhalanxOutlineAgeGroup,0.8525745471
ResNet,ProximalPhalanxOutlineCorrect,0.9137075212
ResNet,ProximalPhalanxTW,0.7956639595
ResNet,RefrigerationDevices,0.531851848
ResNet,Rock,0.5511110889
ResNet,ScreenType,0.6485925847
ResNet,SemgHandGenderCh2,0.8535185324
ResNet,SemgHandMovementCh2,0.5733333362
ResNet,SemgHandSubjectCh2,0.6520987683
ResNet,ShakeGestureWiimoteZ,0.9311110708
ResNet,ShapeletSim,0.9049382673
ResNet,ShapesAll,0.8929629458
ResNet,SmallKitchenAppliances,0.7961481545
ResNet,SmoothSubspace,0.9851851993
ResNet,SonyAIBORobotSurface1,0.9286374516
ResNet,SonyAIBORobotSurface2,0.9797131817
ResNet,StarLightCurves,0.9742998216
ResNet,Strawberry,0.976876888
ResNet,SwedishLeaf,0.9621333347
ResNet,Symbols,0.9671691722
ResNet,SyntheticControl,0.9911111196
ResNet,ToeSegmentation1,0.9663742714
ResNet,Trace,0.9822221332
ResNet,TwoLeadECG,0.9990244706
ResNet,TwoPatterns,0.9565555586
ResNet,UMD,0.9714506269
ResNet,UWaveGestureLibraryAll,0.8535889255
ResNet,UWaveGestureLibraryX,0.7739624116
ResNet,UWaveGestureLibraryY,0.6728395091
ResNet,UWaveGestureLibraryZ,0.7528382672
ResNet,Wafer,0.9970798161
ResNet,Wine,0.7551440398
ResNet,WordSynonyms,0.5283873147
ResNet,Worms,0.7633477516
ResNet,WormsTwoClass,0.7965367834
ResNet,Yoga,0.8813703722
ResNet,ACSF1,0.875555555
ResNet,Adiac,0.8428530892
ResNet,AllGestureWiimoteX,0.7187301517
ResNet,AllGestureWiimoteY,0.7585714261
ResNet,AllGestureWiimoteZ,0.7317460378
ResNet,ArrowHead,0.8025396797
ResNet,CBF,0.9988889098
ResNet,FacesUCR,0.9536585212
ResNet,GestureMidAirD1,0.730769217
ResNet,GestureMidAirD2,0.5769230723
ResNet,GestureMidAirD3,0.3307692409
ResNet,MixedShapesRegularTrain,"0.960824728
"
